formulation,solver,capacity_scale,utilization_percent,capacity_surplus_ratio,coverage_percent,covered_cameras,objective_value,assignment_cost,uncovered_penalty,overload_penalty,capacity_rejected_raw_assignments,failed_batches,avg_feasible_candidate_pairs_per_batch,avg_qubo_coefficient_count,total_time_sec,throughput_cam_per_sec,run_id,_summary_path
AO-QUBO,SQA,0.25,95.06835553337386,1.0518747214986262,4.18,836,287890.0383961901,430.03839619011626,287460.0,0.0,19164,246,80.228,16800.0,123.36811971664429,6.776467063939619,20260602_101711,logs_capacity_stress\ao_qubo_sqa\summary_20260602_101711.json
AO-QUBO,SQA,0.33,72.02148146467717,1.3884746323781867,5.64,1128,283661.85907538934,581.8590753893658,283080.0,0.0,18872,244,105.768,16800.0,129.8052544593811,8.689940978875981,20260602_101452,logs_capacity_stress\ao_qubo_sqa\summary_20260602_101452.json
AO-QUBO,SQA,0.5,47.53417776668693,2.1037494429972523,8.905000000000001,1781,274223.42995043856,938.4299504385807,273285.0,0.0,18219,239,157.192,16800.0,389.64582419395447,4.570817623117833,20260602_100808,logs_capacity_stress\ao_qubo_sqa\summary_20260602_100808.json
AO-QUBO,SQA,1.0,23.767088883343465,4.207498885994505,19.045,3809,245054.59088494143,2189.59088494142,242865.0,0.0,16191,226,314.524,16800.0,385.8179347515106,9.872532241025082,20260602_100128,logs_capacity_stress\ao_qubo_sqa\summary_20260602_100128.json
Static-QCP-QUBO,SQA,0.25,95.06835553337386,1.0518747214986262,4.15,830,287987.0565444251,437.056544425066,287550.0,0.0,19170,245,84.016,80000.0,392.3092703819275,2.115677764106784,20260602_104000,logs_capacity_stress\static_qcp_qubo_sqa\summary_20260602_104000.json
Static-QCP-QUBO,SQA,0.33,72.02148146467717,1.3884746323781867,5.415,1083,284312.3212691533,557.3212691533096,283755.0,0.0,18917,242,104.436,80000.0,391.6585650444031,2.765163580368064,20260602_103316,logs_capacity_stress\static_qcp_qubo_sqa\summary_20260602_103316.json
Static-QCP-QUBO,SQA,0.5,47.53417776668693,2.1037494429972523,8.84,1768,274421.21172373573,941.2117237357527,273480.0,0.0,18232,239,159.904,80000.0,399.9050602912903,4.421049332839628,20260602_102620,logs_capacity_stress\static_qcp_qubo_sqa\summary_20260602_102620.json
Static-QCP-QUBO,SQA,1.0,23.767088883343465,4.207498885994505,19.305,3861,244324.3587154951,2239.358715495109,242085.0,0.0,16139,227,316.22,80000.0,398.321542263031,9.693173957060035,20260602_101929,logs_capacity_stress\static_qcp_qubo_sqa\summary_20260602_101929.json
PRC-QUBO,SQA,0.25,95.06835553337386,1.0518747214986262,94.435,18887,27388.139894873875,10693.139894873875,16695.0,0.0,2666,0,1600.0,16800.0,397.4768772125244,47.51722951144509,20260602_095434,logs_capacity_stress\prc_qubo_sqa\summary_20260602_095434.json
PRC-QUBO,SQA,0.33,72.02148146467717,1.3884746323781867,98.685,19737,15659.358926188099,11714.358926188099,3945.0,0.0,633,0,1600.0,16800.0,403.696816444397,48.89065059723717,20260602_094720,logs_capacity_stress\prc_qubo_sqa\summary_20260602_094720.json
PRC-QUBO,SQA,0.5,47.53417776668693,2.1037494429972523,99.555,19911,12939.201188656461,11604.201188656461,1335.0,0.0,10,0,1600.0,16800.0,376.36268639564514,52.903756721166786,20260602_094043,logs_capacity_stress\prc_qubo_sqa\summary_20260602_094043.json
PRC-QUBO,SQA,1.0,23.767088883343465,4.207498885994505,99.6,19920,12852.250731420625,11652.250731420625,1200.0,0.0,0,0,1600.0,16800.0,406.1595208644867,49.0447693004991,20260602_093342,logs_capacity_stress\prc_qubo_sqa\summary_20260602_093342.json
